,id,created_at,favorite_count,retweet_count,text
0,1474998441663209472,2021-12-26 07:00:07+00:00,639,136,"Recent #Binance listing: $UST

@terra_money is a decentralized algorithmic stablecoin of the Terra blockchain.

Learn more 👇

https://t.co/7tpSVNPYLF"
1,1474963185761505284,2021-12-26 04:40:01+00:00,3550,508,Did anyone get crypto for Christmas?
2,1474922917020459011,2021-12-26 02:00:00+00:00,878,174,"Can't be bothered to write a caption for this. It's an article about the metaverse. Click it. 

https://t.co/NZHdKJKOuy"
3,1474854995321315337,2021-12-25 21:30:07+00:00,1396,221,"In case you missed it, check out the newly introduced #BNB Auto-Burn protocol. 

https://t.co/HRkGNykd5i"
4,1474817232609894400,2021-12-25 19:00:03+00:00,1491,233,https://t.co/MpdXy8Dryi
5,1474787150457720834,2021-12-25 17:00:31+00:00,4217,543,Playing scrabble with the fam and they're trying to tell me 'gm' isn't a word
6,1474764424481316868,2021-12-25 15:30:13+00:00,2856,622,"Recent #Binance listing: $SPELL

@MIM_Spell is a multi-chain lending protocol that utilizes interest-bearing tokens as collateral to mint a USD-pegged stablecoin - Magic Internet Money (MIM).

Learn more 👇

https://t.co/BzNubaeg65"
7,1474742035554914306,2021-12-25 14:01:15+00:00,2917,476,https://t.co/TvuSQZfMSm
8,1474726771706806276,2021-12-25 13:00:36+00:00,4378,541,"How did that get up there?

　　#BNB
　　　　╱╯╲
　　　╱╯╯╰╲
　　　╱╯╰╰╲
　　╱╯╯╯╰╰╲
　　╱╯╯╰╰╰╲
　　╱╯╯╯╰╰╲
　╱╯╯╯╰╰╰╰╲
　▔▔▔▔▇▔▔▔▔"
9,1474696452303634433,2021-12-25 11:00:07+00:00,5265,513,Santa knows me well 🙏 https://t.co/l3b3YMMZjC
10,1474666457355145218,2021-12-25 09:00:56+00:00,990,143,"Enjoy 2% card fees rebates for $EUR when you buy crypto via Visa or MasterCard.

➡️  https://t.co/N6hawYtGKJ https://t.co/mcBJ4BMlBJ"
11,1474636186203340802,2021-12-25 07:00:38+00:00,5578,565,More and more individuals have 'herd' of #Binance these days 😂 https://t.co/hjDfhgn3xm
12,1474613401016057859,2021-12-25 05:30:06+00:00,3037,536,Happy Christmas from all of us at #Binance. https://t.co/wh84QCJY6M
13,1474600797681901570,2021-12-25 04:40:01+00:00,1740,313,"This week @Binance: 

🔸 Auto #BNB Burn announcement
🔸 CZ released some new blogs
🔸 Four new listings
🔸 &amp; much more 👇

https://t.co/2CJ8ZdEk4v"
14,1474575775496032258,2021-12-25 03:00:35+00:00,3246,534,I wonder what this present under the tree for me is… https://t.co/pW0wNysqqh
15,1474537895339958281,2021-12-25 00:30:04+00:00,1373,292,"Play games and monetize your playing time.

Here are the play-to-earn games to check out.

https://t.co/4bescz4FRI"
16,1474492581484670984,2021-12-24 21:30:00+00:00,9036,1143,"☾🎅

              🔭𖨆♡"
17,1474477549061300225,2021-12-24 20:30:16+00:00,2120,474,"Web3.0 and Web3.0 tokens offer immense potential to shape the future of the internet, paving the way for a blockchain-powered decentralized ecosystem. 

Learn more about the future of the internet and how to buy Web3 tokens on #Binance ⬇️ 

https://t.co/YdpN9lQ5ve"
18,1474455010473824272,2021-12-24 19:00:43+00:00,13012,2851,"You can use this as a last-minute gift hint.
              🎁🎁
      🎁🎁🎁🎁🎁🎁
            🎁🎁       🎁🎁
           🎁🎁        🎁🎁
          🎁🎁     🎁🎁
   🎁🎁🎁🎁🎁🎁
        🎁🎁        🎁🎁
       🎁🎁          🎁🎁
      🎁🎁       🎁🎁
🎁🎁🎁🎁🎁🎁
    🎁🎁"
19,1474441279966695434,2021-12-24 18:06:09+00:00,259,19,@Crystal_Demon1 I don’t think we can help 😂
20,1474439789243994117,2021-12-24 18:00:14+00:00,10492,2910,"If this boi drops down your chimney tonight, wyd? https://t.co/vrHBJjpVQ2"
21,1474431131814612997,2021-12-24 17:25:50+00:00,1611,140,@cz_binance Merry Christmas boss
22,1474419376212553730,2021-12-24 16:39:07+00:00,1278,263,"Looking for last minute Christmas gifts? 🎄

Here are some crypto gift ideas to save you time."
23,1474401983499014148,2021-12-24 15:30:00+00:00,771,143,"Recent #Binance listing: $CVX

@ConvexFinance is a yield optimizer built on top of Curve Finance. 

Learn more 👇

https://t.co/6pO33TV8Hu"
24,1474376187438841878,2021-12-24 13:47:30+00:00,801,122,"#Binance has completed the @bZxHQ $BZRX token swap &amp; redenomination to @OokiTrade $OOKI.

https://t.co/fUZIoQc8gX"
25,1474364384273174532,2021-12-24 13:00:36+00:00,764,158,"Christmas battle: Refer, exchange, and win $60,000 worth of #Binance fan tokens!

➡️  https://t.co/rVTtJnUlsS https://t.co/dGMntmRrRs"
26,1474363879769657347,2021-12-24 12:58:35+00:00,5,1,@Fullbeerbottle DM'd
27,1474348429795106819,2021-12-24 11:57:12+00:00,271,35,The winners of the share giveaway who each get $50 are @KerronMcNab on Twitter and “alfonsogbel” on Instagram.
28,1474348427584708608,2021-12-24 11:57:11+00:00,445,60,"@AkkalaBrothers

#Binance brings your tree to life. https://t.co/ei2AQVl8qC"
29,1474348423042187266,2021-12-24 11:57:10+00:00,120,15,"@LoOorex1

Great baking effort. https://t.co/2YEBhZhL0n"
30,1474348418348851201,2021-12-24 11:57:09+00:00,119,12,"“jmperf” on Instagram.

We like your tree decorating style. https://t.co/hDqlZ86mB3"
31,1474348413487620115,2021-12-24 11:57:08+00:00,138,20,"Next, @tiringerandras 

Fine craftsmanship! https://t.co/2PwFrfiRMg"
32,1474348407447822338,2021-12-24 11:57:07+00:00,2593,548,"Congratulations to the final winners of the #BinanceChristmas giveaway! 

Thank you to everyone who took part. 

Here’s a thread of this week’s winners. Each winner gets $100.

First up, @boyzer09.

This dog deserves a cuddle and a gift. https://t.co/LTVIb8i3IP"
33,1474339213776760832,2021-12-24 11:20:35+00:00,2811,263,@cz_binance Binance
34,1474334103923269636,2021-12-24 11:00:16+00:00,708,118,"#Binance adds new assets on Cross and Isolated Margin.

https://t.co/zkSvPfsMsO"
35,1474319149992230925,2021-12-24 10:00:51+00:00,960,182,"New year countdown: Deposit &amp; buy to share up to $45,000 in $BNB.

➡️ https://t.co/lKHnBHhLSV https://t.co/8sWuUAOx1f"
